partnername,Trcost from France,Export from France
Afghanistan,417.84347,614.81
Albania,249.49795,878.67
Algeria,122.44709,207807.87
Andorra,291.44693,10580.19
Angola,387.22413,5978.47
Antigua and Barbuda,283.54888,154.72
Argentina,205.6231,2061.35
Armenia,328.2772,1983.85
Australia,175.69055,41255.84
Austria,129.0445,87862.11
Azerbaijan,253.96727,2862.5
Bahamas,501.28379,1986.38
Bahrain,276.79396,7115.42
Bangladesh,247.82309,10262.72
Barbados,420.08531,278.58
Belarus,231.95717,2857.16
Belgium,23.916684,1629116.47
Benin,341.03667,29872.16
Bolivia,257.58145,10.31
Bosnia and Herz.,231.00877,2227.92
Botswana,419.37627,23.82
Brazil,164.97009,17101.61
Brunei,782.16931,54.35
Bulgaria,114.11164,71526.13
Burkina Faso,144.24675,3820.18
Burundi,402.72821,0
Cabo Verde,226.98034,381.25
Cambodia,307.49442,5091.82
Cameroon,137.87863,7277.12
Canada,160.64593,55966.85
Central African Rep.,251.85381,975.43
Chad,289.47785,2726.86
Chile,165.24877,20065.2
China,191.01318,580622.2
Colombia,204.46158,6646.25
Comoros,267.66388,1828.27
Congo,220.81874,15706.1
Costa Rica,219.86016,366.33
C̫te d'Ivoire,93.280148,65218.22
Croatia,167.51078,18935.97
Cuba,242.60226,5018.02
Cyprus,174.40305,19465.82
Czechia,130.82822,64344.24
Dem. Rep. Congo,234.34407,4860.98
Denmark,77.216907,142927.01
Dominica,306.98465,77.71
Dominican Rep.,232.77363,6080.97
Ecuador,229.05576,4311.07
Egypt,197.89655,37360.92
El Salvador,274.76399,495.66
Eq. Guinea,196.64406,3904.86
Eritrea,242.39014,0
Estonia,235.76436,4023.16
eSwatini,722.53643,4344.85
Ethiopia,304.66768,702.15
Fiji,704.48534,32.2
Finland,172.583,16004.06
French Polynesia,173.53115,32825
Gabon,104.38861,28730.94
Gambia,271.69424,298.13
Georgia,259.93865,6398.86
Germany,66.182873,1717455.91
Ghana,208.38114,28598.04
Greece,126.07069,325122.83
Grenada,297.34,199.42
Guatemala,239.01395,2399.07
Guinea,185.87384,5792.44
Guyana,405.78651,61.89
Honduras,220.47475,68.96
"Hong Kong, China",234.24784,124269.6
Hungary,119.55801,51121.86
Iceland,185.05744,514.91
India,238.3024,11078.93
Indonesia,216.14846,89180.39
Iran,229.33436,11829.19
Iraq,369.49234,15614.2
Ireland,95.794656,111340.28
Israel,131.22007,36703.39
Italy,66.293808,2872837.14
Jamaica,242.35735,1777.72
Japan,227.57048,207880.52
Jordan,189.11696,10646.84
Kazakhstan,337.64466,16950.82
Kenya,229.26372,521.05
Kuwait,266.27,21477.15
Kyrgyzstan,625.74031,35.91
Laos,417.37725,83.78
Latvia,187.89897,3526.56
Lebanon,228.67927,51238.27
Liberia,270.40592,664.53
Libya,403.2999,13943.23
Lithuania,141.90982,9838.47
Luxembourg,84.663064,291042.65
Macedonia,282.05734,1432.59
Madagascar,136.4466,4036.05
Malawi,467.76539,10.77
Malaysia,227.09779,42387.26
Maldives,220.75957,3517.4
Mali,199.81052,8285.02
Malta,186.15115,21928.12
Marshall Islands,527.75593,0
Mauritania,204.76017,5435.75
Mauritius,131.85232,38786.46
Mexico,183.86696,9190.93
Micronesia (Federated States of),628.04413,0
Moldova,139.29468,987.31
Mongolia,956.48117,879.06
Montenegro,466.20121,28.89
Morocco,82.442174,110076.65
Mozambique,398.91195,328.37
Myanmar,383.15703,2457.54
Namibia,268.99548,366.09
Nepal,607.14867,193.99
Netherlands,27.101588,613187.91
New Caledonia,253.78283,31091.21
New Zealand,205.86382,26628.25
Nicaragua,328.57654,94.33
Niger,412.35506,5506.28
Nigeria,249.3993,10924.6
Norway,89.754374,11652.97
Oman,199.52178,13266.18
Pakistan,317.14222,21568.73
Panama,434.26297,1806.44
Papua New Guinea,382.15765,0.06
Paraguay,421.22117,100.4
Peru,243.49709,5178.3
Philippines,240.65609,101751.83
Poland,106.65801,126459.98
Portugal,90.150859,171544.07
Qatar,416.9602,32532.69
Romania,104.36806,46836.8
Russia,201.73747,23998.93
Rwanda,448.24595,0.65
S. Sudan,367.52824,0
Saint Kitts and Nevis,286.126,3.7
Saint Lucia,448.00344,798.94
Saint Vincent and the Grenadines,428.9758,46.71
San Marino,364.70916,0
Sao Tome and Principe,340.37188,1191.74
Saudi Arabia,202.5715,207582.55
Senegal,135.05744,34922.09
Seychelles,195.73586,25294.16
Sierra Leone,809.30963,199
Singapore,194.63413,67066.8
Slovakia,174.92076,10927.01
Slovenia,172.31625,9847.27
South Africa,164.48448,33037.03
South Korea,277.42032,119951.14
Spain,50.888812,1453510
Sri Lanka,229.36776,858.65
Sudan,335.58533,625.22
Suriname,559.47796,664.11
Sweden,92.632301,75197.57
Switzerland,99.749399,371438.33
Syrian Arab Republic,254.17398,4941.67
Tajikistan,430.52891,51
Tanzania,322.20768,221.12
Thailand,181.52286,44920.47
Togo,213.67023,6842.82
Trinidad and Tobago,313.8807,1577.4
Tunisia,115.50262,43546.19
Turkey,148.09326,11433.65
Turkmenistan,424.3566,892.3
Uganda,283.50456,429.83
Ukraine,114.03181,19857.39
United Arab Emirates,148.90609,82515.46
United Kingdom,76.204069,1026561.7
United States of America,140.82711,315228.84
Uruguay,199.5395,973.24
Uzbekistan,385.38428,3919.86
Vanuatu,364.77294,9.52
Venezuela,350.19556,620.91
Vietnam,155.76188,62829.37
Yemen,308.19516,16394.25
Zambia,269.29251,387.32
Zimbabwe,409.89237,1.99
